model,site,layer,rank,variant,permutation_seed,shared_G_bit_identical,permutation_identical_to_P1
qwen3_4b_base,qkv,0,max,P1,0,True,True
qwen3_4b_base,qkv,0,max,P2,0,True,False
qwen3_4b_base,qkv,0,max,P3,0,True,False
qwen3_4b_base,qkv,0,max,P3,1,True,False
qwen3_4b_base,qkv,0,max,P3,2,True,False
qwen3_4b_base,qkv,0,max,P4,0,True,True
qwen3_4b_base,qkv,0,max,P5,0,True,True
qwen3_4b_base,qkv,0,8,P1,0,True,True
qwen3_4b_base,qkv,0,8,P2,0,True,False
qwen3_4b_base,qkv,0,8,P3,0,True,False
qwen3_4b_base,qkv,0,8,P3,1,True,False
qwen3_4b_base,qkv,0,8,P3,2,True,False
qwen3_4b_base,qkv,0,8,P4,0,True,False
qwen3_4b_base,qkv,0,8,P5,0,True,True
qwen3_4b_base,qkv,1,max,P1,0,True,True
qwen3_4b_base,qkv,1,max,P2,0,True,False
qwen3_4b_base,qkv,1,max,P3,0,True,False
qwen3_4b_base,qkv,1,max,P3,1,True,False
qwen3_4b_base,qkv,1,max,P3,2,True,False
qwen3_4b_base,qkv,1,max,P4,0,True,True
qwen3_4b_base,qkv,1,max,P5,0,True,True
qwen3_4b_base,qkv,1,8,P1,0,True,True
qwen3_4b_base,qkv,1,8,P2,0,True,False
qwen3_4b_base,qkv,1,8,P3,0,True,False
qwen3_4b_base,qkv,1,8,P3,1,True,False
qwen3_4b_base,qkv,1,8,P3,2,True,False
qwen3_4b_base,qkv,1,8,P4,0,True,False
qwen3_4b_base,qkv,1,8,P5,0,True,True
qwen3_4b_base,qkv,2,max,P1,0,True,True
qwen3_4b_base,qkv,2,max,P2,0,True,False
qwen3_4b_base,qkv,2,max,P3,0,True,False
qwen3_4b_base,qkv,2,max,P3,1,True,False
qwen3_4b_base,qkv,2,max,P3,2,True,False
qwen3_4b_base,qkv,2,max,P4,0,True,True
qwen3_4b_base,qkv,2,max,P5,0,True,True
qwen3_4b_base,qkv,2,8,P1,0,True,True
qwen3_4b_base,qkv,2,8,P2,0,True,False
qwen3_4b_base,qkv,2,8,P3,0,True,False
qwen3_4b_base,qkv,2,8,P3,1,True,False
qwen3_4b_base,qkv,2,8,P3,2,True,False
qwen3_4b_base,qkv,2,8,P4,0,True,False
qwen3_4b_base,qkv,2,8,P5,0,True,True
qwen3_4b_base,qkv,3,max,P1,0,True,True
qwen3_4b_base,qkv,3,max,P2,0,True,False
qwen3_4b_base,qkv,3,max,P3,0,True,False
qwen3_4b_base,qkv,3,max,P3,1,True,False
qwen3_4b_base,qkv,3,max,P3,2,True,False
qwen3_4b_base,qkv,3,max,P4,0,True,True
qwen3_4b_base,qkv,3,max,P5,0,True,True
qwen3_4b_base,qkv,3,8,P1,0,True,True
qwen3_4b_base,qkv,3,8,P2,0,True,False
qwen3_4b_base,qkv,3,8,P3,0,True,False
qwen3_4b_base,qkv,3,8,P3,1,True,False
qwen3_4b_base,qkv,3,8,P3,2,True,False
qwen3_4b_base,qkv,3,8,P4,0,True,False
qwen3_4b_base,qkv,3,8,P5,0,True,True
qwen3_4b_base,qkv,4,max,P1,0,True,True
qwen3_4b_base,qkv,4,max,P2,0,True,False
