model,chunk,input_position,token_id,token_class,residual_linf,selected_layer,has_scored_next_token
qwen3_4b_base,0,0,151643,BOS,2304.0,21,True
qwen3_4b_base,0,1,284,massive,5504.0,21,True
qwen3_4b_base,0,334,17,massive,6816.0,21,True
qwen3_4b_base,1,0,151643,BOS,2304.0,21,True
qwen3_4b_base,1,1,553,massive,6880.0,21,True
qwen3_4b_base,1,449,220,massive,7520.0,21,True
qwen3_4b_base,2,0,151643,BOS,2304.0,21,True
qwen3_4b_base,2,1,387,massive,6400.0,21,True
qwen3_4b_base,2,1130,16,massive,6816.0,21,True
qwen3_4b_base,3,0,151643,BOS,2304.0,21,True
qwen3_4b_base,3,1,323,massive,63.75,21,True
qwen3_4b_base,3,915,1632,massive,7136.0,21,True
qwen3_4b_base,4,0,151643,BOS,2304.0,21,True
qwen3_4b_base,4,1,27843,massive,640.0,21,True
qwen3_4b_base,4,315,17,massive,6976.0,21,True
qwen3_4b_base,5,0,151643,BOS,2304.0,21,True
qwen3_4b_base,5,324,220,massive,5760.0,21,True
qwen3_4b_base,5,959,4628,massive,40.25,21,True
qwen3_4b_base,5,1211,220,massive,40.75,21,True
qwen3_4b_base,6,0,151643,BOS,2304.0,21,True
qwen3_4b_base,6,1,315,massive,6784.0,21,True
qwen3_4b_base,6,1266,220,massive,7104.0,21,True
qwen3_4b_base,7,0,151643,BOS,2304.0,21,True
qwen3_4b_base,7,378,2524,massive,41.75,21,True
qwen3_4b_base,7,613,220,massive,6816.0,21,True
qwen3_4b_base,8,0,151643,BOS,2304.0,21,True
qwen3_4b_base,8,1,1030,massive,6976.0,21,True
qwen3_4b_base,8,704,16,massive,7680.0,21,True
qwen3_4b_base,9,0,151643,BOS,2304.0,21,True
qwen3_4b_base,9,1,3055,massive,6144.0,21,True
qwen3_4b_base,9,1005,220,massive,7520.0,21,True
qwen3_4b_base,10,0,151643,BOS,2304.0,21,True
qwen3_4b_base,10,1,374,massive,6560.0,21,True
qwen3_4b_base,10,1209,17,massive,6560.0,21,True
qwen3_4b_base,11,0,151643,BOS,2304.0,21,True
qwen3_4b_base,11,672,13136,massive,7232.0,21,True
qwen3_4b_base,12,0,151643,BOS,2304.0,21,True
qwen3_4b_base,12,1632,15,massive,8000.0,21,True
qwen3_4b_base,13,0,151643,BOS,2304.0,21,True
qwen3_4b_base,13,1,26638,massive,6784.0,21,True
qwen3_4b_base,13,307,15,massive,6336.0,21,True
qwen3_4b_base,14,0,151643,BOS,2304.0,21,True
qwen3_4b_base,14,1,320,massive,2544.0,21,True
qwen3_4b_base,14,678,15,massive,6400.0,21,True
qwen3_4b_base,15,0,151643,BOS,2304.0,21,True
qwen3_4b_base,15,1,8153,massive,6432.0,21,True
qwen3_4b_base,15,489,220,massive,6400.0,21,True
qwen3_4b_base,16,0,151643,BOS,2304.0,21,True
qwen3_4b_base,16,1,23692,massive,6656.0,21,True
qwen3_4b_base,16,1250,220,massive,7168.0,21,True
qwen3_4b_base,17,0,151643,BOS,2304.0,21,True
